,,,,,,,,,,,,,,,,,,,,,,
,,Draft Probability Table,,,,,,,,,,,,,,,,,,,,
,,Seed,Chances,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,,,
,,1,114,0.114,0.110,0.107,0.102,0.097,0.470,0,0,0,0,0,0,0,0,0,0,,,
,,2,113,0.113,0.110,0.106,0.102,0.097,0.274,0.199,0,0,0,0,0,0,0,0,0,,,
,,3,112,0.112,0.109,0.105,0.101,0.097,0.148,0.254,0.074,0,0,0,0,0,0,0,0,,,
,,4,111,0.111,0.108,0.105,0.101,0.096,0.071,0.229,0.156,0.023,0,0,0,0,0,0,0,,,
,,5,99,0.099,0.098,0.096,0.095,0.092,0.030,0.179,0.226,0.079,0.007,0,0,0,0,0,0,,,
,,6,89,0.089,0.089,0.089,0.089,0.088,0.007,0.103,0.248,0.164,0.033,0.002,0,0,0,0,0,,,
,,7,79,0.079,0.080,0.081,0.082,0.083,0,0.035,0.201,0.252,0.096,0.011,3.30E-04,0,0,0,0,,,
,,8,69,0.069,0.071,0.072,0.074,0.076,0,0,0.096,0.287,0.206,0.046,0.003,5.21E-05,0,0,0,,,
,,9,59,0.059,0.061,0.063,0.066,0.069,0,0,0,0.195,0.330,0.138,0.018,0.001,5.92E-06,0,0,,,
,,10,49,0.049,0.051,0.054,0.057,0.060,0,0,0,0,0.329,0.319,0.076,0.005,1.07E-04,4.36E-07,0,,,
,,11,39,0.039,0.041,0.044,0.047,0.050,0,0,0,0,0,0.484,0.260,0.033,0.001,1.10E-05,1.64E-08,,,
,,12,29,0.029,0.031,0.033,0.036,0.039,0,0,0,0,0,0,0.643,0.177,0.011,1.82E-04,6.12E-07,,,
,,13,19,0.019,0.021,0.022,0.024,0.027,0,0,0,0,0,0,0,0.783,0.101,0.003,1.71E-05,,,
,,14,9,0.009,0.010,0.011,0.012,0.013,0,0,0,0,0,0,0,0,0.887,0.058,0.001,,,
,,15,6,0.006,0.007,0.007,0.008,0.009,0,0,0,0,0,0,0,0,0,0.939,0.024,,,
,,16,4,0.004,0.004,0.005,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0.975,,,
,,,1000,1,1,1,1,1,1,1,1.00000002,1.00000001,1.000000001,1,1,1,1.000000024,0.999999972,0.999999951,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
